inspection_date,product_id,line_id,shift,material_code,equipment_id,program_version,temperature_c,quality_score,pass_rate
2026-07-20,P-001,L-01,day,M-ALPHA,E-101,V1.4,81.8,98.7,0.990
2026-07-20,P-001,L-01,night,M-BETA,E-102,V1.4,82.0,98.1,0.985
2026-07-21,P-001,L-01,day,M-BETA,E-102,V1.4,82.2,98.4,0.988
2026-07-21,P-001,L-01,night,M-ALPHA,E-101,V1.4,81.9,98.6,0.989
2026-07-22,P-001,L-01,day,M-ALPHA,E-101,V1.4,82.1,98.5,0.990
2026-07-22,P-001,L-01,night,M-BETA,E-102,V1.4,82.3,98.0,0.984
2026-07-27,P-001,L-01,day,M-ALPHA,E-101,V1.4,82.0,98.3,0.987
2026-07-27,P-001,L-01,night,M-BETA,E-102,V2.0,84.6,94.2,0.948
2026-07-28,P-001,L-01,day,M-BETA,E-101,V1.4,82.2,98.4,0.988
2026-07-28,P-001,L-01,night,M-ALPHA,E-102,V2.0,84.9,93.8,0.944
2026-07-29,P-001,L-01,day,M-ALPHA,E-101,V1.4,81.9,98.6,0.989
2026-07-29,P-001,L-01,night,M-BETA,E-102,V2.0,85.1,94.0,0.946
